,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
1948,2013-03-23 05:00:00,0.717534687683,4.87292458654,0.0,4.85174732447,0.0,0.123214147973,0.123214147973,0.123214147973,0.0618512235796,0.0133243957819,0.0739521572983,0.307454916182,0.121093846869,0.0,11.3895255823228
1949,2013-03-23 06:00:00,0.953640829895,4.82825183229,0.0,4.80461970985,0.0,0.121906840961,0.121906840961,0.121906840961,0.0666090081704,0.0143493487755,0.0862682554934,0.343094976018,0.304768400478,0.0,11.767322883853296
1950,2013-03-23 07:00:00,1.4480956219,4.84608168525,0.0,4.81877709171,0.0,0.121856119858,0.121856119858,0.121856119858,0.104671308796,0.0225489761569,0.138447814423,0.396412505532,0.647514897138,0.0,12.788118260479902
1951,2013-03-23 08:00:00,1.73202703455,3.92100072203,0.0,3.89198754568,0.0,0.0981028091957,0.0981028091957,0.0981028091957,0.185553694638,0.0399731873457,0.214170541178,0.421217987177,0.741364815015,0.0,11.441603955200799
1952,2013-03-23 09:00:00,1.62180664422,3.12291622844,0.0,3.09838726368,0.0,0.0783488620847,0.0783488620847,0.0783488620847,0.147491386046,0.0317735565319,0.275218193109,0.356115477877,0.71621516857,0.0,9.604970504728
1953,2013-03-23 10:00:00,1.45421128869,2.56574286289,0.0,2.54486673035,0.0,0.065048157255,0.065048157255,0.065048157255,0.0761245853185,0.016399256479,0.336436577975,0.303083068842,0.640475642818,0.0,8.1324844851275
1954,2013-03-23 11:00:00,1.36164877051,2.2158003006,0.0,2.19443319599,0.0,0.0568818867079,0.0568818867079,0.0568818867079,0.0618512235796,0.0133243957819,0.351641232033,0.310211080809,0.551094951596,0.0,7.2306508110231995
1955,2013-03-23 12:00:00,1.2721891834,1.23062190967,0.0,1.20924825876,0.0,0.0317523298079,0.0317523298079,0.0317523298079,0.0618512235796,0.0133243957819,0.366855520645,0.310306120969,0.471455592614,0.0,5.0311091948432
1956,2013-03-23 13:00:00,1.17910133972,0.61066748773,0.0,0.589653883015,0.0,0.0156616251673,0.0156616251673,0.0156616251673,0.0618512235796,0.0133243957819,0.357197296466,0.305078912193,0.409343886536,0.0,3.5732033005233994
1957,2013-03-23 14:00:00,1.10606438798,0.066934257247,0.0,0.0451940138642,0.0,0.0012150610616,0.0012150610616,0.0012150610616,0.0618512235796,0.0133243957819,0.324743059292,0.315628369904,0.372658278362,0.0,2.3100431691955
